Company_name,Role,Skill,Question_category,Question,Answer,Round
Google,Data Scientist,SQL,Technical,How would you find the second-highest salary from an employees table?,Use DENSE_RANK() or LIMIT 1 OFFSET 1 (after sorting in DESC order),1
Google,Data Scientist,SQL,Technical,Write a query to calculate the 7-day rolling retention rate,"Use self-join on user_id with date_diff = 7 days, then calculate percentage",2
Google,Data Scientist,SQL,Technical,How would you optimize a query joining 5 large tables?,"Create proper indexes, use WHERE clauses before JOINs, consider materialized views",3
Google,Data Scientist,SQL,Technical,Find users who made purchases on 3+ consecutive days,Use window functions (LAG/LEAD) to identify date sequences,3
Google,Data Scientist,SQL,Technical,Calculate median session duration per user,Use PERCENTILE_CONT(0.5) in PostgreSQL or APPROX_QUANTILES in BigQuery,2
Google,Data Scientist,SQL,Technical,Difference between UNION and UNION ALL,"UNION removes duplicates, UNION ALL keeps all rows (faster)",1
Google,Data Scientist,SQL,Technical,How would you handle NULL values in aggregate functions?,"Most functions (SUM, AVG) ignore NULLs; use COALESCE to replace NULLs if needed",1
Google,Data Scientist,SQL,Technical,Write query to find employees earning more than their managers,Self-join the employees table on manager_id = employee_id,2
Google,Data Scientist,SQL,Technical,How would you track user funnel conversion rates?,"Use COUNT with CASE statements for each funnel stage, calculate percentages",2
Google,Data Scientist,SQL,Technical,Explain different types of table joins,"INNER (only matching), LEFT (all left + matching right), RIGHT, FULL OUTER, CROSS",1
Google,Data Scientist,Machine Learning,Technical,Explain the difference between classification and regression.,"Classification predicts discrete labels, regression predicts continuous values.",1
Google,Data Scientist,Machine Learning,Technical,How does logistic regression work for binary classification?,"Uses sigmoid function to output probabilities between 0-1, optimized via maximum likelihood.",2
Google,Data Scientist,Machine Learning,Technical,What's the loss function for linear regression?,Mean Squared Error (MSE) = 1/n Σ(y_true - y_pred)²,1
Google,Data Scientist,Machine Learning,Technical,How would you handle multiclass classification?,Use One-vs-Rest or softmax regression with cross-entropy loss.,2
Google,Data Scientist,Machine Learning,Technical,When would you use k-means vs hierarchical clustering?,"k-means for large datasets, hierarchical for small data or need cluster relationships.",2
Google,Data Scientist,Machine Learning,Technical,How do you choose k in k-means clustering?,Elbow method (SSE vs k) or silhouette analysis.,2
Google,Data Scientist,Machine Learning,Technical,Explain how PCA reduces dimensionality.,"Finds orthogonal axes of max variance, projects data onto top k components.",3
Google,Data Scientist,Machine Learning,Technical,What problem does ReLU solve in neural networks?,Mitigates vanishing gradients compared to sigmoid/tanh.,2
Google,Data Scientist,Machine Learning,Technical,How does dropout prevent overfitting?,Randomly deactivates neurons during training to force robust features.,2
Google,Data Scientist,Machine Learning,Technical,Explain attention mechanism in transformers.,Weights input importance dynamically using query-key-value matrices.,3
Google,Data Scientist,Machine Learning,Technical,When would you use precision vs recall?,Precision: Minimize false positives. Recall: Minimize false negatives.,2
Google,Data Scientist,Machine Learning,Technical,What does AUC-ROC represent?,Probability that model ranks random positive higher than negative. 1.0 = perfect.,2
Google,Data Scientist,Machine Learning,Technical,How to evaluate an imbalanced dataset?,"Use F1-score, precision-recall curve instead of accuracy.",2
Google,Data Scientist,Machine Learning,Technical,How would you encode categorical variables?,"One-hot for few categories, embeddings for many, target encoding for high cardinality.",2
Google,Data Scientist,Machine Learning,Technical,Why normalize/standardize features?,"Ensures equal contribution to distance-based models (kNN, SVM) and gradient descent.",1
Google,Data Scientist,SQL,Technical,"Given a table of user transactions, write a query to find the second-highest transaction amount per user.",Use window functions (DENSE_RANK() OVER (PARTITION BY user_id ORDER BY amount DESC)) to rank transactions and filter for rank = 2.,2
Google,Data Scientist,Statistics,Technical,How would you measure the statistical significance of an A/B test result?,"Use hypothesis testing (t-test for continuous metrics, chi-square for proportions), calculate p-value, and check if it’s below the significance level (e.g., 0.05).",2
Google,Data Scientist,Machine Learning,Technical,Explain the bias-variance tradeoff. How does it affect model performance?,"Bias: Error due to overly simplistic assumptions. Variance: Error due to overfitting. Tradeoff: High bias → underfitting, high variance → overfitting. Balancing reduces total error.",3
Google,Data Scientist,Python,Technical,"Given a DataFrame with missing values, how would you handle them before modeling?","Options: Drop rows (df.dropna()), impute with mean/median (df.fillna()), or use ML-based imputation (e.g., KNN). Justify choice based on data.",1
Google,Data Scientist,Data Visualization,Technical,How would you visualize the distribution of a skewed numeric variable?,"Use a log transformation + histogram, boxplot (shows outliers), or KDE plot for smoothed distribution.",1
Google,Data Scientist,Case Study,Technical,How would you detect fraudulent transactions in a payment system?,"Approach: (1) Define fraud (chargebacks, unusual patterns), (2) Feature engineering (velocity, location), (3) Model (anomaly detection, supervised learning if labeled data exists).",3
Google,Data Scientist,Probability,Technical,"If you roll a die three times, what’s the probability of getting at least one six?",Answer: 1 – (5/6)^3 ≈ 42.1% (Complement rule: 1 – P(no sixes in 3 rolls)).,2
Google,Data Scientist,Experimentation,Technical,How would you design an experiment to test a new search ranking algorithm?,"Define metrics (CTR, dwell time), randomization unit (users/sessions), sample size (power analysis), and guardrail metrics (no regressions).",3
Google,Data Scientist,Statistics,Technical,How would you determine if a 5% CTR lift is statistically significant?,Perform two-proportion z-test with α=0.05; check if p-value < 0.05 and power > 80%.,2
Google,Data Scientist,Statistics,Technical,When would you use Poisson regression?,"For count data where variance ≈ mean (e.g., website visits per day).",2
Google,Data Scientist,Statistics,Technical,What's the probability of getting two heads in three coin flips?,"Use binomial formula: C(3,2) * (0.5)³ = 3/8 = 37.5%.",1
